Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_price,Price,kilometers_driven_log,price_log,Brand
Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,86642,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,43.65,20.37,11.369539965434294,3.0140632302387145,Audi
BMW 3 Series Luxury Line,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,62.07,36.5,9.864486815186396,3.597312260588446,BMW
Audi Q7 4.2 TDI Quattro Technology,Coimbatore,2016,51002,Diesel,Automatic,First,11.33,4134.0,335.2,7.0,55.61,48.91,10.839620126623823,3.8899818745512658,Audi
Hyundai i20 2015-2017 Asta 1.2,Pune,2016,6800,Petrol,Manual,First,18.6,1197.0,81.83,5.0,9.74,7.2,8.824677891164198,1.9740810260220096,Hyundai
Renault Duster 110PS Diesel RxL,Hyderabad,2012,82749,Diesel,Manual,First,19.01,1461.0,108.45,5.0,4.93,5.99,11.323567208574145,1.7900914121273581,Renault
Hyundai Xcent 1.1 CRDi S Celebration Edition,Pune,2016,51000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,9.74,5.25,10.839580911706463,1.6582280766035324,Hyundai
Ford Ecosport 1.5 DV5 MT Titanium,Delhi,2014,31465,Diesel,Manual,First,22.7,1498.0,89.84,5.0,11.2,6.5,10.356631095961035,1.8718021769015913,Ford
Volkswagen Polo Petrol Trendline 1.2L,Hyderabad,2013,76476,Petrol,Manual,First,16.47,1198.0,73.9,5.0,11.105,4.4,11.244732245102295,1.4816045409242156,Volkswagen
Hyundai Grand i10 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,9.74,4.6,9.546812608597396,1.5260563034950492,Hyundai
Tata Manza Aqua Quadrajet BS IV,Ahmedabad,2013,47000,Diesel,Manual,First,21.12,1248.0,88.8,5.0,7.63,2.95,10.757902880692196,1.0818051703517284,Tata
Honda City 1.5 V MT,Kolkata,2011,48466,Petrol,Manual,First,17.0,1497.0,118.0,5.0,11.15,3.26,10.78861780016066,1.1817271953786161,Honda
Hyundai Santro Xing GLS,Bangalore,2008,46000,Petrol,Manual,Second,17.92,1086.0,62.1,5.0,9.74,2.22,10.736396675471232,0.7975071958841882,Hyundai
Toyota Innova 2.5 VX (Diesel) 7 Seater,Hyderabad,2012,162663,Diesel,Manual,First,12.99,2494.0,100.0,7.0,23.25,10.5,11.999435854929516,2.3513752571634776,Toyota
Maruti Ciaz 1.3 S,Coimbatore,2017,25142,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.87,8.26,10.132295033474776,2.1114245875328868,Maruti
Toyota Fortuner 4x4 MT TRD Sportivo,Delhi,2013,69000,Diesel,Manual,First,12.55,2982.0,169.0,7.0,23.25,14.45,11.141861783579396,2.670694414558441,Toyota
Ford Fiesta 1.6 SXI ABS Duratec,Chennai,2009,80524,Petrol,Manual,Second,15.3,1596.0,89.84,5.0,11.2,2.5,11.296310555618719,0.9162907318741551,Ford
Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950.0,191.34,5.0,86.97,51.43,10.181308665141033,3.940221659786825,Mercedes-Benz
Mercedes-Benz New C-Class 220 CDI MT,Chennai,2014,45000,Diesel,Manual,First,15.8,2148.0,170.0,5.0,78.76,23.0,10.714417768752456,3.1354942159291497,Mercedes-Benz
Skoda Yeti Ambition 4X2,Kolkata,2012,64284,Diesel,Manual,First,17.72,1968.0,108.49,5.0,31.365000000000002,5.5,11.07106604566896,1.7047480922384253,Skoda
Hyundai Grand i10 Sportz,Delhi,2015,27000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,9.74,4.5,10.203592144986466,1.5040773967762742,Hyundai
Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,3678,Petrol,Manual,First,18.16,1196.0,86.8,5.0,11.2,6.8,8.210124405164267,1.916922612182061,Ford
Skoda Octavia Ambition 1.4 TSI MT,Mumbai,2013,21000,Petrol,Manual,First,16.8,1395.0,138.02,5.0,31.365000000000002,8.75,9.95227771670556,2.169053700369523,Skoda
Renault Duster 85PS Diesel RxL Option,Mumbai,2015,67000,Diesel,Manual,Second,19.87,1461.0,83.8,5.0,4.93,7.0,11.112447898373103,1.9459101490553132,Renault
Land Rover Range Rover Evoque 2.0 TD4 Pure,Delhi,2015,24000,Diesel,Automatic,Second,15.68,1999.0,177.0,5.0,120.0,33.5,10.085809109330082,3.5115454388310208,Land Rover
Ford Figo Diesel EXI,Chennai,2011,75000,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,11.2,2.25,11.225243392518447,0.8109302162163288,Ford
Ford Endeavour Hurricane Limited Edition,Hyderabad,2008,179000,Diesel,Automatic,Second,12.8,2953.0,156.0,7.0,11.2,4.24,12.095141084822892,1.4445632692438664,Ford
Toyota Fortuner 4x4 MT,Coimbatore,2017,47198,Diesel,Manual,First,12.55,2982.0,168.5,7.0,23.25,28.42,10.762106797794535,3.3470931226689546,Toyota
Volkswagen Polo Diesel Comfortline 1.2L,Kolkata,2012,52000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,11.105,2.75,10.858998997563564,1.0116009116784799,Volkswagen
Maruti Ritz VDi,Jaipur,2011,91000,Diesel,Manual,First,23.2,1248.0,73.94,5.0,7.87,3.0,11.418614785498987,1.0986122886681098,Maruti
Nissan Micra Diesel XV Premium,Pune,2013,60000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,9.51,3.55,11.002099841204238,1.2669476034873244,Nissan
Hyundai Verna 1.6 SX,Kolkata,2013,37873,Diesel,Manual,First,22.32,1582.0,126.32,5.0,9.74,4.8,10.541993736136895,1.5686159179138452,Hyundai
BMW 5 Series 2003-2012 523i,Kolkata,2011,31000,Petrol,Automatic,First,10.8,2497.0,150.0,5.0,58.67,13.5,10.341742483467284,2.6026896854443837,BMW
Mercedes-Benz GLS 350d 4MATIC,Pune,2017,129000,Diesel,Automatic,First,11.0,2987.0,258.0,7.0,100.0,56.0,11.76756768334381,4.02535169073515,Mercedes-Benz
Honda CR-V 2.4L 4WD AT,Hyderabad,2004,78000,Petrol,Automatic,First,12.0,2354.0,187.4,5.0,11.15,3.99,11.26446410567173,1.3837912309017721,Honda
Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016,32000,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,9.74,15.5,10.373491181781864,2.740840023925201,Hyundai
Hyundai i10 Era,Jaipur,2010,59000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,9.74,2.32,10.985292722887856,0.8415671856782185,Hyundai
Mercedes-Benz A Class A200 CDI Sport,Kochi,2016,35437,Diesel,Automatic,First,20.0,2143.0,136.0,5.0,78.76,18.58,10.475511751023127,2.922085733385692,Mercedes-Benz
Maruti Ertiga VXI,Jaipur,2014,98000,Petrol,Manual,First,16.02,1373.0,93.7,7.0,7.87,5.5,11.49272275765271,1.7047480922384253,Maruti
Skoda Octavia Classic 1.9 TDI MT,Chennai,2006,72000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,31.365000000000002,3.2,11.184421397998193,1.1631508098056809,Skoda
Honda Amaze VX i-Vtech,Pune,2015,79000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,11.15,4.0,11.27720313144916,1.3862943611198906,Honda
Maruti Zen LXi BSII,Chennai,2004,29000,Petrol,Manual,First,17.3,993.0,60.0,5.0,7.87,1.6,10.275051108968611,0.47000362924573563,Maruti
Maruti SX4 ZXI MT BSIV,Kochi,2013,66012,Petrol,Manual,First,15.5,1586.0,103.3,5.0,7.87,4.15,11.097591822663459,1.423108334242607,Maruti
Honda Brio VX AT,Mumbai,2014,35000,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,11.15,4.25,10.46310334047155,1.4469189829363254,Honda
Maruti Wagon R VXI,Ahmedabad,2011,75000,Petrol,Manual,First,18.9,998.0,67.1,5.0,7.87,2.6,11.225243392518447,0.9555114450274363,Maruti
Toyota Camry A/T,Mumbai,2008,80000,Petrol,Automatic,Second,12.1,2362.0,164.7,5.0,23.25,3.43,11.289781913656018,1.2325602611778486,Toyota
Chevrolet Beat LS,Kochi,2012,32717,Petrol,Manual,First,18.6,1199.0,79.4,5.0,11.105,2.55,10.395650099471604,0.9360933591703348,Chevrolet
Toyota Fortuner 4x4 AT,Delhi,2017,25000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,23.25,32.0,10.126631103850338,3.4657359027997265,Toyota
Ford Ecosport 1.5 DV5 MT Titanium Optional,Mumbai,2014,79000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,11.2,6.25,11.27720313144916,1.8325814637483102,Ford
Maruti Swift Vdi BSIII,Hyderabad,2010,86000,Diesel,Manual,Second,17.8,1248.0,75.0,5.0,7.87,3.6,11.362102575235644,1.2809338454620642,Maruti
Mercedes-Benz S Class 2005 2013 S 350 CDI,Pune,2010,137000,Diesel,Automatic,First,13.5,2987.0,282.0,5.0,78.76,18.5,11.827736204810263,2.917770732084279,Mercedes-Benz
Honda Mobilio S i VTEC,Mumbai,2015,25000,Petrol,Manual,Second,17.3,1497.0,117.3,7.0,11.15,4.25,10.126631103850338,1.4469189829363254,Honda
Hyundai Grand i10 Sportz,Mumbai,2017,8500,Petrol,Manual,Second,18.9,1197.0,82.0,5.0,9.74,4.8,9.047821442478408,1.5686159179138452,Hyundai
Mahindra XUV500 AT W8 FWD,Bangalore,2015,34000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,11.145,13.0,10.4341158035983,2.5649493574615367,Mahindra
Skoda Fabia 1.6 MPI Elegance,Pune,2012,41629,Petrol,Manual,Second,14.83,1598.0,105.0,5.0,31.365000000000002,2.25,10.636552318761908,0.8109302162163288,Skoda
Hyundai Santro Xing GLS,Hyderabad,2009,80227,Petrol,Manual,First,17.92,1086.0,62.1,5.0,9.74,2.3,11.292615395552012,0.8329091229351039,Hyundai
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Kochi,2019,8587,Petrol,Manual,First,15.29,1591.0,121.3,5.0,9.74,13.56,9.058004710672485,2.6071242825122494,Hyundai
Mahindra Scorpio 1.99 S8,Delhi,2017,30000,Diesel,Manual,First,15.4,1997.0,120.0,7.0,11.145,12.25,10.308952660644293,2.505525936990736,Mahindra
Skoda Rapid 1.6 TDI Ambition,Pune,2013,64186,Diesel,Manual,First,20.5,1598.0,103.5,5.0,31.365000000000002,3.76,11.069540397361827,1.324418957401803,Skoda
Renault Duster 110PS Diesel RxZ,Coimbatore,2015,76427,Diesel,Manual,First,19.01,1461.0,108.45,5.0,4.93,8.58,11.244091315863791,2.149433913499871,Renault
BMW X5 xDrive 30d,Hyderabad,2011,75000,Diesel,Automatic,First,11.7,2993.0,245.0,5.0,58.67,27.5,11.225243392518447,3.3141860046725258,BMW
Toyota Etios G,Coimbatore,2013,27075,Petrol,Manual,First,17.6,1496.0,88.73,5.0,23.25,4.95,10.20636607186919,1.599387576580599,Toyota
Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.74,3.3,10.308952660644293,1.1939224684724346,Maruti
Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8,1591.0,121.3,5.0,14.84,8.0,11.148131940071105,2.0794415416798357,Hyundai
Maruti Celerio VXI,Jaipur,2014,56000,Petrol,Manual,First,23.1,998.0,67.04,5.0,7.87,2.79,10.933106969717286,1.0260415958332743,Maruti
Land Rover Range Rover HSE Dynamic,Coimbatore,2017,49275,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,120.0,45.64,10.805172132020921,3.8207845249938748,Land Rover
Chevrolet Beat LT,Pune,2014,8700,Petrol,Manual,First,18.6,1199.0,76.8,5.0,11.105,2.55,9.071078304642676,0.9360933591703348,Chevrolet
Tata Nano Twist XT,Ahmedabad,2014,18000,Petrol,Manual,Second,25.4,624.0,37.5,4.0,7.63,1.0,9.798127036878302,0.0,Tata
Audi A6 2011-2015 35 TDI Technology,Coimbatore,2017,41041,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,55.61,37.56,10.62232684601953,3.6259396543400624,Audi
Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,Diesel,Automatic,Second,11.0,2987.0,198.5,5.0,78.76,9.29,11.295565158411746,2.2289385528257473,Mercedes-Benz
Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22.0,1197.0,81.8,5.0,7.87,6.37,9.936293504261306,1.851599469584072,Maruti
Fiat Linea T Jet,Coimbatore,2013,60283,Petrol,Manual,First,14.6,1368.0,112.0,5.0,8.955,2.98,11.006805419252556,1.091923300517313,Fiat
Maruti Swift VXI Optional,Kochi,2017,31696,Petrol,Manual,First,20.4,1197.0,81.8,5.0,7.87,5.75,10.363945768938333,1.749199854809259,Maruti
Toyota Fortuner 3.0 Diesel,Hyderabad,2010,100000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,23.25,13.0,11.512925464970229,2.5649493574615367,Toyota
Maruti Ertiga ZXI,Mumbai,2014,13361,Petrol,Manual,First,16.02,1373.0,93.7,7.0,7.87,6.8,9.500095294588894,1.916922612182061,Maruti
BMW 3 Series 320i Sedan,Coimbatore,2010,48394,Petrol,Automatic,First,12.05,1995.0,154.0,5.0,58.67,10.49,10.787131118078038,2.3504224224082058,BMW
Maruti Ertiga VXI,Jaipur,2014,47399,Petrol,Manual,First,16.02,1373.0,93.7,7.0,7.87,5.6,10.76635641041421,1.7227665977411035,Maruti
Honda City 1.5 V AT,Mumbai,2010,69000,Petrol,Automatic,Second,16.8,1497.0,118.0,5.0,11.15,2.85,11.141861783579396,1.0473189942805592,Honda
Hyundai Santa Fe 4X4,Coimbatore,2013,65278,Diesel,Manual,First,14.66,2199.0,194.3,7.0,9.74,8.36,11.086410351913756,2.1234584270966104,Hyundai
Tata Indigo LS,Jaipur,2005,108000,Diesel,Manual,First,17.0,1405.0,70.0,5.0,7.63,1.0,11.589886506106357,0.0,Tata
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,Petrol,Automatic,Second,10.93,2497.0,204.0,5.0,78.76,10.75,10.832595788120898,2.3749057545736716,Mercedes-Benz
Maruti Swift Dzire LDi,Hyderabad,2011,130002,Diesel,Manual,First,19.3,1248.0,73.9,5.0,7.87,3.85,11.775305113934762,1.3480731482996928,Maruti
Ford Fiesta Classic 1.4 Duratorq CLXI,Hyderabad,2012,107000,Diesel,Manual,First,17.8,1399.0,67.0,5.0,11.2,3.0,11.580584113444043,1.0986122886681098,Ford
Honda City i VTEC CVT VX,Coimbatore,2015,41950,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,11.15,9.6,10.644233711895351,2.2617630984737906,Honda
Toyota Fortuner 4x2 Manual,Delhi,2012,109000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,23.25,13.25,11.59910316121128,2.583997552432231,Toyota
Honda Amaze VX O i VTEC,Mumbai,2016,9000,Petrol,Manual,First,18.0,1198.0,86.7,5.0,11.15,5.75,9.104979856318357,1.749199854809259,Honda
Hyundai i20 Asta 1.4 CRDi,Delhi,2014,43900,Diesel,Manual,First,22.54,1396.0,88.73,5.0,9.74,6.75,10.689669599063263,1.9095425048844386,Hyundai
Chevrolet Enjoy TCDi LTZ 7 Seater,Bangalore,2013,64000,Diesel,Manual,Second,18.2,1248.0,73.8,7.0,11.105,4.85,11.06663836234181,1.5789787049493917,Chevrolet
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950.0,181.43,5.0,49.49,38.99,9.48721424571136,3.663305202994506,Mercedes-Benz
Maruti SX4 ZXI AT Leather,Mumbai,2009,77652,Petrol,Automatic,First,12.6,1586.0,103.2,5.0,7.87,2.85,11.259992584845266,1.0473189942805592,Maruti
Toyota Innova 2.5 VX (Diesel) 7 Seater,Mumbai,2012,55000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,23.25,9.51,10.915088464214607,2.252343876557299,Toyota
BMW 5 Series 2003-2012 520d,Ahmedabad,2012,59900,Diesel,Automatic,Second,18.48,1995.0,177.0,5.0,58.67,18.5,11.00043178410354,2.917770732084279,BMW
Renault Duster 110PS Diesel RxZ,Delhi,2015,73539,Diesel,Manual,First,19.01,1461.0,108.45,5.0,4.93,6.75,11.205571156720927,1.9095425048844386,Renault
BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,48.18,29.4,10.362335437209406,3.380994674344636,BMW
Honda City ZX GXi,Kochi,2009,69690,Petrol,Manual,First,17.7,1497.0,78.0,5.0,11.15,3.29,11.151812114432564,1.1908875647772805,Honda
Maruti Ciaz RS ZDi Plus SHVS,Delhi,2016,41000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.87,9.5,10.621327345686446,2.2512917986064953,Maruti
Maruti Swift Dzire VXi,Pune,2010,109200,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,7.87,2.2,11.600936342292941,0.7884573603642703,Maruti
Mahindra XUV500 W6 2WD,Pune,2012,80000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,11.145,6.5,11.289781913656018,1.8718021769015913,Mahindra
Honda Civic 2006-2010 1.8 S MT,Ahmedabad,2007,51000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,11.15,4.9,10.839580911706463,1.589235205116581,Honda
Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47,1248.0,88.5,7.0,12.34,6.75,11.56171562913966,1.9095425048844386,Maruti
Toyota Etios Liva GD,Chennai,2013,179000,Diesel,Manual,First,23.59,1364.0,67.04,5.0,23.25,3.8,12.095141084822892,1.33500106673234,Toyota
Audi TT 2.0 TFSI,Delhi,2013,12100,Petrol,Automatic,First,9.9,1984.0,207.8,2.0,55.61,29.5,9.400960731584833,3.3843902633457743,Audi
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498.0,108.4,5.0,15.38,10.5,10.341742483467284,2.3513752571634776,Skoda
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2015,50000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,11.105,6.2,10.819778284410283,1.824549292051046,Volkswagen
Skoda Laura 1.9 TDI AT Elegance,Jaipur,2009,48000,Diesel,Automatic,First,17.0,1896.0,105.0,5.0,31.365000000000002,5.0,10.778956289890028,1.6094379124341003,Skoda
Mahindra Renault Logan 1.5 DLE Diesel,Chennai,2007,35000,Diesel,Manual,First,19.2,1461.0,65.0,5.0,11.145,2.3,10.46310334047155,0.8329091229351039,Mahindra
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.21,17.0,11.5149234676329,2.833213344056216,Toyota
BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,58.67,25.5,10.757902880692196,3.2386784521643803,BMW
Honda Jazz 1.5 S i DTEC,Jaipur,2015,63642,Diesel,Manual,First,27.3,1498.0,98.6,5.0,11.15,5.65,11.061028908733526,1.7316555451583497,Honda
Honda Amaze VX i-DTEC,Kochi,2015,62550,Diesel,Manual,First,25.8,1498.0,98.6,5.0,11.15,5.6,11.043721515895058,1.7227665977411035,Honda
Jaguar XF 2.2 Litre Luxury,Kochi,2015,37340,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,53.72,29.98,10.527820417095713,3.4005304926744517,Jaguar
Maruti Swift Dzire VDI,Coimbatore,2016,38461,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.87,7.39,10.557400019844792,2.0001277349601105,Maruti
Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1,1956.0,170.0,5.0,22.95,19.0,10.275051108968611,2.9444389791664403,Jeep
Toyota Corolla Altis 1.8 Sport,Pune,2010,31000,Petrol,Manual,First,12.5,1794.0,132.0,5.0,23.25,5.0,10.341742483467284,1.6094379124341003,Toyota
Honda City 1.5 V MT,Kolkata,2011,42086,Petrol,Manual,First,17.0,1497.0,118.0,5.0,11.15,3.35,10.647470422798568,1.208960345836975,Honda
Maruti Swift ZXI,Chennai,2013,49000,Petrol,Manual,First,18.6,1197.0,85.8,5.0,7.87,4.45,10.799575577092764,1.4929040961781488,Maruti
Hyundai Verna 1.6 SX CRDI (O) AT,Coimbatore,2019,77240,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,9.74,8.31,11.254672736542451,2.1174596088673567,Hyundai
Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96,2523.0,62.1,7.0,11.15,6.0,11.56171562913966,1.791759469228055,Mahindra
Maruti Swift VDI,Chennai,2014,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,7.87,5.25,10.46310334047155,1.6582280766035324,Maruti
Hyundai Santro Xing XO,Chennai,2006,83072,Petrol,Manual,First,17.0,1086.0,82.0,5.0,9.74,1.4,11.327462980623707,0.3364722366212129,Hyundai
Audi A6 2011-2015 2.0 TDI Premium Plus,Hyderabad,2012,202082,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,55.61,12.3,12.216428834605809,2.509599262378372,Audi
Ford Ikon 1.3 LXi NXt,Chennai,2004,129000,Petrol,Manual,Third,13.8,1299.0,70.0,5.0,11.2,1.5,11.76756768334381,0.4054651081081644,Ford
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498.0,88.0,5.0,10.32,8.12,10.421030564049643,2.0943301541735866,Volkswagen
Mahindra Bolero VLX CRDe,Coimbatore,2012,60271,Diesel,Manual,First,13.6,2523.0,63.0,7.0,11.145,6.12,11.006606338342099,1.8115620965242347,Mahindra
Honda City i DTEC VX Option,Coimbatore,2017,45366,Diesel,Manual,First,25.1,1498.0,98.6,5.0,11.15,10.88,10.722518204786326,2.3869262414277967,Honda
Chevrolet Sail Hatchback 1.2 LS,Kolkata,2014,9500,Petrol,Manual,First,18.2,1199.0,82.5,5.0,11.105,3.5,9.159047077588632,1.252762968495368,Chevrolet
Hyundai i20 1.2 Spotz,Kochi,2016,42362,Petrol,Manual,First,18.6,1197.0,81.83,5.0,9.74,6.15,10.654007012953944,1.8164520818184267,Hyundai
BMW X1 sDrive 20d Sportline,Chennai,2016,21000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,58.67,33.0,9.95227771670556,3.4965075614664802,BMW
BMW X1 sDrive 20d Exclusive,Mumbai,2012,15200,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,58.67,13.5,9.629050706834368,2.6026896854443837,BMW
Toyota Fortuner 4x2 AT,Mumbai,2015,43690,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,23.25,17.11,10.684874521945481,2.839663087904102,Toyota
Audi Q7 4.2 TDI Quattro Technology,Kochi,2014,79926,Diesel,Automatic,First,11.33,4134.0,335.2,7.0,55.61,29.77,11.288856485579517,3.393501175027685,Audi
Maruti Ertiga VDI,Kolkata,2013,53073,Diesel,Manual,First,20.77,1248.0,88.76,7.0,7.87,5.95,10.879423603336724,1.7833912195575383,Maruti
Hyundai i20 1.2 Magna,Bangalore,2015,59000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,9.74,5.75,10.985292722887856,1.749199854809259,Hyundai
Mercedes-Benz S Class 2005 2013 S 350 L,Bangalore,2006,47088,Petrol,Automatic,Second,10.13,3498.0,364.9,5.0,78.76,19.0,10.759773470473254,2.9444389791664403,Mercedes-Benz
Renault Duster 85PS Diesel RxL,Ahmedabad,2014,55000,Diesel,Manual,First,20.45,1461.0,83.8,5.0,4.93,4.75,10.915088464214607,1.55814461804655,Renault
Mahindra Quanto C2,Hyderabad,2013,80430,Diesel,Manual,Second,17.21,1493.0,100.0,7.0,11.145,3.3,11.295142519898114,1.1939224684724346,Mahindra
Toyota Fortuner 4x2 AT,Delhi,2013,71932,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,23.25,16.5,11.183476507285087,2.803360380906535,Toyota
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,19000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,58.67,44.0,9.852194258148577,3.784189633918261,BMW
Maruti Swift Dzire VDi,Hyderabad,2011,81759,Diesel,Manual,First,19.3,1248.0,73.9,5.0,7.87,4.39,11.311531174442967,1.47932922708708,Maruti
Maruti Swift LDI Optional,Kochi,2018,52010,Diesel,Manual,First,25.2,1248.0,74.0,5.0,7.87,6.2,10.859191286767118,1.824549292051046,Maruti
Audi A6 2011-2015 35 TFSI Technology,Kochi,2016,58953,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,55.61,24.22,10.984495795255876,3.1871787381249463,Audi
Mitsubishi Pajero 2.8 SFX BSIV Dual Tone,Mumbai,2008,93000,Diesel,Manual,Third,10.5,2835.0,107.2,6.0,33.21,5.45,11.440354772135393,1.6956156086751528,Mitsubishi
Jaguar XF 2.2 Litre Executive,Delhi,2016,10000,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,53.72,44.0,9.210340371976184,3.784189633918261,Jaguar
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,28.05,24.82,10.613344346659021,3.211649779776461,Toyota
Skoda Octavia Ambition 2.0 TDI AT,Mumbai,2015,50000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,31.365000000000002,11.69,10.819778284410283,2.458733775483977,Skoda
Toyota Corolla Altis VL AT,Bangalore,2018,1331,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,23.25,20.0,7.193685818395112,2.995732273553991,Toyota
Maruti Omni 8 Seater BSII,Pune,2010,60000,Petrol,Manual,First,19.7,796.0,35.0,8.0,7.87,1.45,11.002099841204238,0.371563556432483,Maruti
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,59.77,48.5,9.21064032698518,3.8815637979434374,Mercedes-Benz
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,15.86,9.45,10.126631103850338,2.2460147415056513,Volkswagen
Mahindra XUV500 W10 2WD,Ahmedabad,2015,73000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,11.145,12.5,11.198214720130528,2.5257286443082556,Mahindra
Nissan Terrano XL 85 PS,Hyderabad,2014,59962,Diesel,Manual,First,20.45,1461.0,83.8,5.0,9.51,6.9,11.00146630723063,1.9315214116032138,Nissan
Hyundai Verna 1.6 SX CRDi (O),Jaipur,2012,72000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,9.74,5.8,11.184421397998193,1.7578579175523736,Hyundai
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2016,20967,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,58.67,44.56,9.950705052145238,3.7968365956190286,BMW
Mahindra Scorpio S4 Plus,Bangalore,2015,35000,Diesel,Manual,Second,15.4,2179.0,120.0,7.0,11.145,8.5,10.46310334047155,2.1400661634962708,Mahindra
Hyundai Verna 1.6 CRDi SX,Coimbatore,2017,38056,Diesel,Manual,First,23.9,1582.0,126.2,5.0,9.74,10.7,10.546814038112117,2.3702437414678603,Hyundai
Audi Q7 3.0 TDI Quattro Premium Plus,Pune,2009,94000,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,55.61,12.0,11.451050061252142,2.4849066497880004,Audi
Chevrolet Aveo U-VA 1.2 LT,Coimbatore,2010,64236,Petrol,Manual,First,14.7,1150.0,76.0,5.0,11.105,2.44,11.070319080181381,0.8919980393051105,Chevrolet
